feature,rf_importance,gbr_importance,et_importance
water_level_current,0.8539751420579046,0.8718816706954512,0.2711295805127046
water_level_previous,0.06905872524062924,0.05515098849535492,0.19638011957610838
water_level_rolling_3,0.02336448239161633,0.024673282752152997,0.18137354165936934
water_level_lag_1,0.01232793286002424,0.014672112107256108,0.12151450115480965
water_level_lag_3,0.007450586101985939,0.0064096405559044825,0.06787348220395828
water_level_lag_2,0.006063898266776639,0.005701305863656719,0.060707957430326163
rainfall_rolling_3,0.0040432909841640954,0.0033151421932059366,0.003577019002543186
rainfall_12hr,0.003828890550987601,0.0030327529775079254,0.004127839960595441
rainfall_lag_1,0.0038122190612506876,0.0026924906346672663,0.004379127938733712
rainfall_lag_2,0.0029910197418057064,0.0023739657335720156,0.0036494962781897624
month_sin,0.0028322610973005166,0.0022786717004257585,0.004323473181233968
major_flood_level,0.0026288244252769917,0.002282313724502898,0.022873799808252448
month_cos,0.002398297930316066,0.0019350121534656563,0.004162574644998327
alert_level,0.0018144225846193518,0.001364559407129947,0.02732765477379396
minor_flood_level,0.0017212574987684715,0.0011688499595188667,0.023397429961673592
hour_sin,0.0009457855447671204,0.000589921446640716,0.0018175831272017216
hour_cos,0.0007429636618065015,0.0004773195995865459,0.0013848187855074593
