feature,importance
water_level_current,0.8539751420579046
water_level_previous,0.06905872524062924
water_level_rolling_3,0.02336448239161633
water_level_lag_1,0.01232793286002424
water_level_lag_3,0.007450586101985939
water_level_lag_2,0.006063898266776639
rainfall_rolling_3,0.0040432909841640954
rainfall_12hr,0.003828890550987601
rainfall_lag_1,0.0038122190612506876
rainfall_lag_2,0.0029910197418057064
month_sin,0.0028322610973005166
major_flood_level,0.0026288244252769917
month_cos,0.002398297930316066
alert_level,0.0018144225846193518
minor_flood_level,0.0017212574987684715
hour_sin,0.0009457855447671204
hour_cos,0.0007429636618065015
