0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
River Basin,Tributory/River,Gauging Station,,,,,"Water 
Level at 
8:00 pm","Water 
Level at 
9:00 pm",Remarks,"Water 
Level 
Rising or 
Falling","12 Hr RF 
in mm at 
9.00 pm",,,
,,Station,Unit,"Alert 
Level","Minor 
Flood 
Level","Major 
Flood 
Level",,,,,,,,
,Kelani Ganga,Nagalagam Street,ft,4.00,5.00,7.00,1.30,1.20,Normal,,-,,,
,Kelani Ganga,Hanwella,m,7.00,8.00,10.00,2.05,2.00,Normal,,5.1,,,
,Kelani Ganga,Glencourse,m,15.00,16.50,19.00,9.89,9.91,Normal,,,,3.2,
"Kelani Ganga    
(RB 01)",Kelani Ganga,Kithulgala,m,3.00,4.00,6.00,1.83,1.81,Normal,,0.0,,,
,Gurugoda Oya,Holombuwa,m,3.00,3.40,5.00,0.50,0.50,Normal,,0.0,,,
,Seethawaka Ganga,Deraniyagala,m,4.80,5.80,6.40,1.09,0.99,Normal,,0.0,,,
,Kehelgamu Oya,Norwood,m,1.50,3.00,4.50,0.54,0.54,Normal,,0.0,,,
"Kalu Ganga      
(RB 03)",Kalu Ganga,Putupaula,m,3.00,4.00,5.00,1.00,1.00,Normal,,0.0,,,
,Kalu Ganga,Ellagawa,m,10.00,10.70,12.20,5.73,5.70,Normal,,0.0,,,
,Kalu Ganga,Rathnapura,m,5.20,7.50,9.50,1.76,1.76,Normal,,0.1,,,
,Maguru Ganga,Magura,m,4.00,6.00,7.50,2.17,2.16,Normal,,0.0,,,
,Kuda Ganga,"Kalawellawa 
(Millakanda)",m,5.00,6.50,8.00,4.37,4.34,Normal,,,,3.3,
Gin Ganga,Gin Ganga,Baddegama,m,3.50,4.00,5.00,2.15,2.14,Normal,,,,2.5,
(RB 09),Gin Ganga,Thawalama,m,4.00,6.00,7.50,1.96,1.97,Normal,,7.6,,,
"Nilwala Ganga    
(RB 12)",Nilwala Ganga,Thalgahagoda,m,1.40,1.70,2.80,0.40,0.38,Normal,,0.0,,,
,Nilwala Ganga,Panadugama,m,5.00,6.00,7.50,2.79,2.79,Normal,,0.0,,,
,Nilwala Ganga,Pitabeddara,m,4.00,5.00,6.50,0.70,0.70,Normal,,,,2.8,
,Urubokka Ganga,Urawa,m,2.50,4.00,6.00,0.15,0.15,Normal,,0.0,,,
"Walawe Ganga   
(RB 18)",Walawe Ganga,Moraketiya,m,3.00,5.00,7.00,0.81,0.81,Normal,,0.0,,,
"Kirindi Oya      
(RB 22)",Kirindi Oya,Thanamalwila,m,4.00,5.00,5.50,0.64,0.64,Normal,,0.0,,,
,Kirindi Oya,Wellawaya,m,4.40,5.40,5.90,0.93,0.93,Normal,,0.0,,,
,Kuda Oya,Kuda Oya,m,6.90,8.40,8.80,1.27,1.27,Normal,,0.0,,,
"Menik Ganga 
(RB 26)",Menik Ganga,Katharagama,m,4.00,4.60,6.50,-0.15,-0.15,Normal,,0.0,,,
"Kumbukkan Oya 
(RB 31)",Kumbukkan Oya,Nakkala,m,5.00,6.00,7.50,0.66,0.66,Normal,,0.0,,,
"Heda Oya        
(RB 36)",Heda Oya,Siyambalanduwa,m,4.50,6.00,7.00,0.42,0.42,Normal,,0.0,,,
"Maduru Oya     
(RB 54)",Maduru Oya,Padiyathalawa,m,4.00,4.50,6.00,0.11,0.11,Normal,,0.0,,,
,Mahaweli Ganga,Manampitiya,m,3.00,4.30,6.00,-0.15,-0.15,Normal,,0.0,,,
,Mahaweli Ganga,Weraganthota,m,5.00,6.00,8.00,-,-,,,0.0,,,
"Mahaweli Ganga  
(RB 60)",Mahaweli Ganga,Peradeniya,m,5.00,7.00,9.00,1.30,1.36,Normal,,0.0,,,
,Mahaweli Ganga,Nawalapitiya,m,3.50,5.00,6.00,1.29,1.30,Normal,,0.0,,,
,Badulu Oya,Thaldena,m,3.00,4.00,5.00,0.30,0.29,Normal,,0.0,,,
"Yan Oya         
(RB 67)",Yan Oya,Horowpothana,m,6.00,7.50,10.50,1.29,1.29,Normal,,0.0,,,
Maa Oya (RB 69),Mukunu Oya,Yaka Wewa,m,4.00,5.00,6.00,0.55,0.55,Normal,,0.0,,,
"Malwathu Oya 
(RB 90)",Malwathu Oya,Thanthirimale,m,5.00,6.80,7.80,-,-,,,0.0,,,
"Mee Oya        
(RB 95)",Mee Oya,Galgamuwa,m,4.84,5.94,8.00,-,-,,,0.0,,,
"Deduru Oya      
(RB 99)",Deduru Oya,Moragaswewa,m,4.75,6.00,7.00,0.27,0.28,Normal,,0.0,,,
Maha Oya,Maha Oya,Badalgama,m,5.00,6.20,9.60,2.19,2.19,Normal,,0.5,,,
(RB 102),Maha Oya,Giriulla,m,5.50,6.50,7.50,1.02,1.02,Normal,,0.0,,,
"Attanagalu Oya 
(RB 103)",Attanagalu Oya,Dunamale,m,3.30,4.40,5.50,1.43,1.41,Normal,,,1.6,,
